Operating Airline_,total_passengers,avg_passengers,median_passengers,Airline_count,International_A,International_G,Other_Other,Terminal 1_A,Terminal 1_B,Terminal 1_C,Terminal 2_D,Terminal 3_E,Terminal 3_F,2005_Fall,2005_Summer,2005_Winter,2006_Fall,2006_Spring,2006_Summer,2006_Winter,2007_Fall,2007_Spring,2007_Summer,2007_Winter,2008_Fall,2008_Spring,2008_Summer,2008_Winter,2009_Fall,2009_Spring,2009_Summer,2009_Winter,2010_Fall,2010_Spring,2010_Summer,2010_Winter,2011_Fall,2011_Spring,2011_Summer,2011_Winter,2012_Fall,2012_Spring,2012_Summer,2012_Winter,2013_Fall,2013_Spring,2013_Summer,2013_Winter,2014_Fall,2014_Spring,2014_Summer,2014_Winter,2015_Fall,2015_Spring,2015_Summer,2015_Winter,2016_Spring,2016_Winter,Cluster
ATA Airlines,384432,9153.142857142857,5733.0,42,11,0,0,0,0,0,0,0,0,121155,103602,34565,85,53793,0,51918,642,0,624,48,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aer Lingus,431904,4407.183673469388,4224.0,98,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8492,0,0,6217,24804,27551,34988,17554,10047,19798,24798,10390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28652,16891,33408,7887,38175,29638,46235,20534,11655,14190,0
Aeromexico,983226,5492.882681564246,3459.0,179,173,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,14644,16031,21628,8230,20268,18775,21193,17412,18436,17472,24952,19311,18810,17065,19354,19323,35722,17935,30221,34905,52977,57269,73118,60559,57688,66860,70113,69258,21589,41846,0
Air Berlin,83547,2320.75,2277.5,36,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7844,2309,13966,0,8402,3468,17335,0,7552,3534,19137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Canada ,6507642,18250.72602739726,17628.0,365,108,30,0,0,0,0,0,0,0,131836,103602,38681,128787,134482,164877,114667,149582,141245,169467,118006,126866,128701,188113,116177,129566,121397,192195,99358,138365,118186,167227,97560,135448,128640,171770,89178,141321,126960,190678,102915,141755,134784,162577,110736,142785,156332,179262,131868,195395,184837,219825,146635,53972,104581,1
Air Canada Jazz,4119,294.2142857142857,286.5,14,0,0,0,0,0,0,0,0,0,0,0,1063,1055,0,1382,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air China,1714149,6618.335907335907,6991.0,259,0,30,0,0,0,0,0,0,0,26727,19890,7804,32741,28373,34750,21600,42648,38881,44221,30445,34234,41563,36823,34393,29501,30033,33335,29158,40492,38935,43416,34318,42063,43014,43430,40951,43006,42617,44873,41137,47362,48670,50341,43532,41354,45786,49476,48121,50693,45130,56049,44521,15625,32117,0
Air France,2989982,11589.077519379845,11264.5,258,258,0,0,0,0,0,0,0,0,58074,46649,14614,57304,64352,72508,41729,58063,60572,72383,40075,61979,63290,76878,40027,63254,65050,77410,40168,66149,62109,92849,38700,79373,66459,109614,42187,82859,68829,125956,43428,80341,77440,118568,44504,73377,73578,122912,46436,87663,74413,137455,46129,20546,33729,0
Air India Limited,22676,2834.5,2936.0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,5303,11541,0
Air New Zealand,1930156,7452.339768339767,7531.0,259,0,30,0,0,0,0,0,0,0,25472,18638,13879,38222,32383,42856,44099,42486,42362,46615,50348,40437,43805,44830,48317,31354,33227,34462,42377,35112,32722,33965,38491,40650,40938,41529,48699,45653,39330,45385,54439,54372,46246,54197,56678,51088,53694,54756,61409,51704,53913,51148,70100,17891,39878,0
AirTran Airways,2388648,10569.238938053097,8714.5,226,24,0,0,0,0,0,0,0,0,39363,31572,11691,51515,39136,71569,28056,59833,37674,101363,28331,31917,47087,126313,24652,72252,44895,124986,34358,90651,64309,142660,54356,95326,104858,165108,54080,70907,89163,142129,50289,49146,40128,62320,30785,14359,22827,26460,12224,0,0,0,0,0,0,0
